id,name,short,category,family,package,fn,engine,level,status,structures_text,diagnostics_text
factor-analysis,Exploratory Factor Analysis,Estimate latent common factors,Foundations,foundations,stats,factanal,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
reliability,Reliability / Cronbach Alpha,Internal-consistency assessment,Foundations,foundations,psych,alpha,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
kmeans,K-Means Clustering,Partition observations into clusters,Foundations,foundations,stats,kmeans,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
hierarchical-cluster,Hierarchical Clustering,Nested clustering from a distance matrix,Foundations,foundations,stats,hclust,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
ols,Ordinary Least Squares,Linear regression for continuous outcomes,Regression,regression,stats,lm,Offline + webR,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
linear-probability,Linear Probability Model,OLS model for a binary dependent variable,Regression,regression,stats,lm,Offline + webR,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
wls,Weighted Least Squares,Linear regression with observation weights,Regression,regression,stats,lm,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
gls,Generalised Least Squares,Regression with modelled error covariance,Regression,regression,nlme,gls,native R,Intermediate,Generic R scaffold,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
fgls,Feasible Generalised Least Squares,Estimated covariance correction for non-spherical errors,Regression,regression,nlme,gls,native R,Intermediate,Generic R scaffold,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
nls,Nonlinear Least Squares,Estimate nonlinear regression functions,Regression,regression,stats,nls,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
polynomial,Polynomial Regression,Regression with polynomial terms,Regression,regression,stats,lm,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
log-linear,Log-Linear Regression,Log outcome with level regressors,Regression,regression,stats,lm,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
log-log,Log-Log Regression,Elasticity model with logged variables,Regression,regression,stats,lm,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
distributed-lag,Finite Distributed Lag Model,Estimate contemporaneous and lagged effects,Regression,regression,dynlm,dynlm,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
restricted-ls,Restricted Least Squares,Linear estimation under equality or inequality restrictions,Regression,regression,restriktor,restriktor,native R,Intermediate,Generic R scaffold,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
ridge,Ridge Regression,L2-regularised linear regression,Regression,regression,glmnet,glmnet,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
lasso,Lasso Regression,L1-regularised variable selection,Regression,regression,glmnet,glmnet,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
elastic-net,Elastic Net Regression,Combined L1 and L2 regularisation,Regression,regression,glmnet,glmnet,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
quantile,Quantile Regression,Estimate conditional quantiles,Regression,regression,quantreg,rq,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
median-regression,Median Regression,Estimate the conditional median,Regression,regression,quantreg,rq,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
robust-regression,Robust Regression,Regression resistant to influential observations,Regression,regression,MASS,rlm,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
spline-regression,Spline Regression,Flexible piecewise-polynomial regression,Regression,regression,splines,bs,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
gam,Generalised Additive Model,Smooth nonlinear additive effects,Regression,regression,mgcv,gam,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
partial-least-squares,Partial Least Squares Regression,Latent-component prediction with correlated regressors,Regression,regression,pls,plsr,native R,Intermediate,Generic R scaffold,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
high-dimensional-fe,High-Dimensional Fixed Effects,Linear models with many fixed effects,Regression,regression,fixest,feols,native R,Intermediate,Generic R scaffold,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
fama-macbeth,Fama–MacBeth Regression,Repeated cross-sectional coefficient estimation,Regression,regression,plm,pmg,native R,Intermediate,Generic R scaffold,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
mixed-effects,Linear Mixed-Effects Model,Regression with hierarchical random effects,Regression,regression,lme4,lmer,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
generalized-mixed,Generalised Mixed-Effects Model,Non-Gaussian hierarchical regression,Regression,regression,lme4,glmer,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Multicollinearity | Heteroskedasticity | Serial correlation | Normality | Specification
vif,Variance Inflation Factor,R workflow for variance inflation factor,Regression diagnostics,diagnostics,car,vif,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
condition-index,Condition Index,R workflow for condition index,Regression diagnostics,diagnostics,perturb,colldiag,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
breusch-pagan,Breusch–Pagan Test,R workflow for breusch–pagan test,Regression diagnostics,diagnostics,lmtest,bptest,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
white-test,White Heteroskedasticity Test,R workflow for white heteroskedasticity test,Regression diagnostics,diagnostics,skedastic,white,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
goldfeld-quandt,Goldfeld–Quandt Test,R workflow for goldfeld–quandt test,Regression diagnostics,diagnostics,lmtest,gqtest,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
durbin-watson,Durbin–Watson Test,R workflow for durbin–watson test,Regression diagnostics,diagnostics,lmtest,dwtest,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
breusch-godfrey,Breusch–Godfrey LM Test,R workflow for breusch–godfrey lm test,Regression diagnostics,diagnostics,lmtest,bgtest,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
ljung-box,Ljung–Box Test,R workflow for ljung–box test,Regression diagnostics,diagnostics,stats,Box.test,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
jarque-bera,Jarque–Bera Test,R workflow for jarque–bera test,Regression diagnostics,diagnostics,tseries,jarque.bera.test,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
shapiro-wilk,Shapiro–Wilk Test,R workflow for shapiro–wilk test,Regression diagnostics,diagnostics,stats,shapiro.test,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
ramsey-reset,Ramsey RESET Test,R workflow for ramsey reset test,Regression diagnostics,diagnostics,lmtest,resettest,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
link-test,Link Test,R workflow for link test,Regression diagnostics,diagnostics,custom,link_test,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
chow-test,Chow Structural-Break Test,R workflow for chow structural-break test,Regression diagnostics,diagnostics,strucchange,sctest,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
cusum,CUSUM Stability Test,R workflow for cusum stability test,Regression diagnostics,diagnostics,strucchange,efp,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
cusumsq,CUSUMSQ Stability Test,R workflow for cusumsq stability test,Regression diagnostics,diagnostics,strucchange,efp,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
recursive-residuals,Recursive Residuals,R workflow for recursive residuals,Regression diagnostics,diagnostics,strucchange,recresid,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
cook-distance,Cook’s Distance,R workflow for cook’s distance,Regression diagnostics,diagnostics,stats,cooks.distance,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
leverage,Leverage Diagnostics,R workflow for leverage diagnostics,Regression diagnostics,diagnostics,stats,hatvalues,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
dfbetas,DFBETAs,R workflow for dfbetas,Regression diagnostics,diagnostics,stats,dfbetas,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
studentized-residuals,Studentised Residuals,R workflow for studentised residuals,Regression diagnostics,diagnostics,stats,rstudent,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
influence-measures,Influence Measures,R workflow for influence measures,Regression diagnostics,diagnostics,stats,influence.measures,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
arch-lm,ARCH LM Test,R workflow for arch lm test,Regression diagnostics,diagnostics,FinTS,ArchTest,native R,Intermediate,Method-aware adapter,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
hansen-parameter,Hansen Parameter Instability Test,R workflow for hansen parameter instability test,Regression diagnostics,diagnostics,strucchange,sctest,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
rainbow-test,Rainbow Test,R workflow for rainbow test,Regression diagnostics,diagnostics,lmtest,raintest,native R,Intermediate,Diagnostic scaffold,Cross-section | Time series | Panel,Null hypothesis | Test statistic | p-value | Decision
acf-pacf,ACF and PACF Analysis,R workflow for acf and pacf analysis,Time series,time_series,stats,acf,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
decomposition,Classical Seasonal Decomposition,R workflow for classical seasonal decomposition,Time series,time_series,stats,decompose,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
stl,STL Decomposition,R workflow for stl decomposition,Time series,time_series,stats,stl,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
moving-average,Moving-Average Smoothing,R workflow for moving-average smoothing,Time series,time_series,stats,filter,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
simple-exp-smoothing,Simple Exponential Smoothing,R workflow for simple exponential smoothing,Time series,time_series,forecast,ses,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
holt,Holt Trend Method,R workflow for holt trend method,Time series,time_series,forecast,holt,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
holt-winters,Holt–Winters Method,R workflow for holt–winters method,Time series,time_series,stats,HoltWinters,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
ets,ETS State-Space Model,R workflow for ets state-space model,Time series,time_series,forecast,ets,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
ar,Autoregressive Model,R workflow for autoregressive model,Time series,time_series,stats,ar,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
ma,Moving-Average Model,R workflow for moving-average model,Time series,time_series,stats,arima,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
arma,ARMA Model,R workflow for arma model,Time series,time_series,stats,arima,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
arima,ARIMA,Univariate autoregressive integrated moving-average model,Time series,time_series,stats,arima,webR,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
sarima,Seasonal ARIMA,R workflow for seasonal arima,Time series,time_series,forecast,Arima,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
arimax,ARIMAX,R workflow for arimax,Time series,time_series,forecast,Arima,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
dynamic-regression,Dynamic Regression,R workflow for dynamic regression,Time series,time_series,dynlm,dynlm,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
structural-ts,Structural Time-Series Model,R workflow for structural time-series model,Time series,time_series,stats,StructTS,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
state-space,State-Space Model,R workflow for state-space model,Time series,time_series,KFAS,SSModel,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
kalman-filter,Kalman Filtering,R workflow for kalman filtering,Time series,time_series,stats,KalmanRun,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
unobserved-components,Unobserved Components Model,R workflow for unobserved components model,Time series,time_series,KFAS,SSModel,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
transfer-function,Transfer-Function Model,R workflow for transfer-function model,Time series,time_series,TSA,arimax,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
intervention-analysis,Intervention Analysis,R workflow for intervention analysis,Time series,time_series,TSA,arimax,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
midas,MIDAS Regression,R workflow for midas regression,Time series,time_series,midasr,midas_r,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
dynamic-harmonic,Dynamic Harmonic Regression,R workflow for dynamic harmonic regression,Time series,time_series,forecast,fourier,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
temporal-disaggregation,Temporal Disaggregation,R workflow for temporal disaggregation,Time series,time_series,tempdisagg,td,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
forecast-combination,Forecast Combination,R workflow for forecast combination,Time series,time_series,forecastHybrid,hybridModel,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
rolling-regression,Rolling Regression,R workflow for rolling regression,Time series,time_series,zoo,rollapply,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
expanding-window,Expanding-Window Estimation,R workflow for expanding-window estimation,Time series,time_series,rsample,rolling_origin,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
threshold-ar,Threshold Autoregression,R workflow for threshold autoregression,Time series,time_series,tsDyn,setar,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
smooth-transition-ar,Smooth-Transition Autoregression,R workflow for smooth-transition autoregression,Time series,time_series,tsDyn,lstar,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
markov-switching,Markov-Switching Regression,R workflow for markov-switching regression,Time series,time_series,MSwM,msmFit,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
time-varying-parameter,Time-Varying Parameter Model,R workflow for time-varying parameter model,Time series,time_series,tvReg,tvLM,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
fractional-arima,ARFIMA,R workflow for arfima,Time series,time_series,fracdiff,fracdiff,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
tbats,TBATS Forecasting,R workflow for tbats forecasting,Time series,time_series,forecast,tbats,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
bats,BATS Forecasting,R workflow for bats forecasting,Time series,time_series,forecast,bats,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
prophet,Prophet Forecast Model,R workflow for prophet forecast model,Time series,time_series,prophet,prophet,native R,Intermediate,Generic R scaffold,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
theta,Theta Forecast Method,R workflow for theta forecast method,Time series,time_series,forecast,thetaf,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
croston,Croston Intermittent-Demand Method,R workflow for croston intermittent-demand method,Time series,time_series,forecast,croston,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
neural-ar,Neural-Network Autoregression,R workflow for neural-network autoregression,Time series,time_series,forecast,nnetar,native R,Intermediate,Method-aware adapter,Time series,Residual autocorrelation | Parameter stability | Forecast accuracy
adf,Augmented Dickey–Fuller Test,R workflow for augmented dickey–fuller test,Unit roots and stationarity,unit_root,urca,ur.df,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
pp,Phillips–Perron Test,R workflow for phillips–perron test,Unit roots and stationarity,unit_root,urca,ur.pp,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
kpss,KPSS Stationarity Test,R workflow for kpss stationarity test,Unit roots and stationarity,unit_root,urca,ur.kpss,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
df-gls,DF-GLS Test,R workflow for df-gls test,Unit roots and stationarity,unit_root,urca,ur.ers,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
ng-perron,Ng–Perron Test,R workflow for ng–perron test,Unit roots and stationarity,unit_root,urca,ur.ngp,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
ers-point,ERS Point-Optimal Test,R workflow for ers point-optimal test,Unit roots and stationarity,unit_root,urca,ur.ers,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
zivot-andrews,Zivot–Andrews Unit-Root Test,R workflow for zivot–andrews unit-root test,Unit roots and stationarity,unit_root,urca,ur.za,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
perron-break,Perron Structural-Break Test,R workflow for perron structural-break test,Unit roots and stationarity,unit_root,urca,ur.za,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
lee-strazicich,Lee–Strazicich Unit-Root Test,R workflow for lee–strazicich unit-root test,Unit roots and stationarity,unit_root,uroot,ur.ls,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
fourier-unit-root,Fourier Unit-Root Test,R workflow for fourier unit-root test,Unit roots and stationarity,unit_root,Fourierin,fourierin,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
hegy,HEGY Seasonal Unit-Root Test,R workflow for hegy seasonal unit-root test,Unit roots and stationarity,unit_root,uroot,hegy.test,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
canova-hansen,Canova–Hansen Seasonal Stability Test,R workflow for canova–hansen seasonal stability test,Unit roots and stationarity,unit_root,uroot,ch.test,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
breitung-panel-unit,Breitung Panel Unit-Root Test,R workflow for breitung panel unit-root test,Unit roots and stationarity,unit_root,plm,purtest,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
llc,Levin–Lin–Chu Test,R workflow for levin–lin–chu test,Unit roots and stationarity,unit_root,plm,purtest,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
ips,Im–Pesaran–Shin Test,R workflow for im–pesaran–shin test,Unit roots and stationarity,unit_root,plm,purtest,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
fisher-adf-panel,Fisher ADF Panel Test,R workflow for fisher adf panel test,Unit roots and stationarity,unit_root,plm,purtest,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
fisher-pp-panel,Fisher PP Panel Test,R workflow for fisher pp panel test,Unit roots and stationarity,unit_root,plm,purtest,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
hadri,Hadri Panel Stationarity Test,R workflow for hadri panel stationarity test,Unit roots and stationarity,unit_root,punitroots,hadri.test,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
cips,Pesaran CIPS Test,R workflow for pesaran cips test,Unit roots and stationarity,unit_root,plm,cipstest,native R,Advanced,Method-aware adapter,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
cadf,Cross-Sectionally Augmented ADF,R workflow for cross-sectionally augmented adf,Unit roots and stationarity,unit_root,plm,cipstest,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
kss,Kapetanios–Shin–Snell Nonlinear Unit-Root Test,R workflow for kapetanios–shin–snell nonlinear unit-root test,Unit roots and stationarity,unit_root,NonlinearTSA,KSS_Unit_Root,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
fractional-integration,Fractional Integration Test,R workflow for fractional integration test,Unit roots and stationarity,unit_root,fracdiff,fdGPH,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
variance-ratio,Variance-Ratio Test,R workflow for variance-ratio test,Unit roots and stationarity,unit_root,vrtest,Lo.Mac,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
runs-stationarity,Runs Test,R workflow for runs test,Unit roots and stationarity,unit_root,randtests,runs.test,native R,Advanced,Generic R scaffold,Time series | Panel,Lag selection | Deterministic terms | Structural breaks
engle-granger,Engle–Granger Cointegration,R workflow for engle–granger cointegration,Cointegration and ECM,cointegration,urca,ca.po,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
phillips-ouliaris,Phillips–Ouliaris Cointegration Test,R workflow for phillips–ouliaris cointegration test,Cointegration and ECM,cointegration,urca,ca.po,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
johansen,Johansen Cointegration,R workflow for johansen cointegration,Cointegration and ECM,cointegration,urca,ca.jo,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
ardl,ARDL Bounds Model,R workflow for ardl bounds model,Cointegration and ECM,cointegration,ARDL,ardl,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
uecm,Unrestricted Error-Correction Model,R workflow for unrestricted error-correction model,Cointegration and ECM,cointegration,ARDL,uecm,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
ecm,Error-Correction Model,R workflow for error-correction model,Cointegration and ECM,cointegration,dynlm,dynlm,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
vecm,Vector Error-Correction Model,R workflow for vector error-correction model,Cointegration and ECM,cointegration,urca,cajorls,native R,Advanced,Method-aware adapter,Time series | Panel,Integration order | Cointegration rank | Adjustment dynamics | Stability
