firm,year,roa,liquidity,capital_adequacy,leverage,size
F04,2020,0.15174,0.807,0.1687,0.2817,12.933
F04,2021,0.11723,1.0561,0.1141,0.6303,12.9604
F04,2022,0.1211,0.7821,0.1602,0.3208,13.0126
F04,2023,0.14003,0.7949,0.153,0.3015,13.0448
F04,2024,0.13827,0.9543,0.1724,0.3588,13.0826
F05,2012,0.11768,0.6141,0.1869,0.4287,13.5024
F05,2013,0.13896,0.5883,0.1775,0.3223,13.549
F05,2014,0.13252,0.7045,0.2027,0.6478,13.5978
F05,2015,0.14579,1.1262,0.1413,0.4289,13.6027
F05,2016,0.14335,0.5595,0.1686,0.5899,13.6817
F05,2017,0.13481,1.3776,0.1661,0.554,13.7198
F05,2018,0.15323,1.0356,0.1524,0.5066,13.7578
F05,2019,0.10385,0.7493,0.1431,0.5278,13.7911
F05,2020,0.15638,1.0741,0.208,0.4053,13.7789
F05,2021,0.1412,0.6472,0.1923,0.4248,13.8017
F05,2022,0.13875,0.5595,0.162,0.4516,13.8372
F05,2023,0.14941,0.9593,0.1611,0.3918,13.876
F05,2024,0.1457,1.1663,0.2147,0.2206,13.9036
F06,2012,0.14018,1.0934,0.1596,0.5362,12.6027
F06,2013,0.12732,0.8683,0.2133,0.4441,12.671
F06,2014,0.11511,0.8007,0.1875,0.724,12.6948
F06,2015,0.13559,1.1931,0.2078,0.24,12.7045
F06,2016,0.13706,1.0587,0.1439,0.2555,12.7429
F06,2017,0.11648,0.5606,0.1608,0.4355,12.747
F06,2018,0.12794,0.9029,0.1519,0.487,12.7644
F06,2019,0.13753,1.1445,0.1869,0.3918,12.8015
F06,2020,0.12686,0.5938,0.1476,0.3657,12.8489
F06,2021,0.16948,1.2617,0.1353,0.5183,12.8892
F06,2022,0.13775,0.6853,0.1659,0.226,12.9331
F06,2023,0.10805,0.8805,0.1618,0.4214,12.9924
F06,2024,0.13448,0.7995,0.1239,0.3438,13.0062
F07,2012,0.14372,0.7008,0.2503,0.4865,12.8145
F07,2013,0.1253,0.481,0.1659,0.2858,12.874
F07,2014,0.08884,0.2854,0.189,0.5712,12.9435
F07,2015,0.10951,0.8077,0.1413,0.4804,12.932
F07,2016,0.12562,1.0193,0.16,0.4767,13.0139
F07,2017,0.11252,0.3356,0.1602,0.6477,13.0659
F07,2018,0.09043,0.583,0.0841,0.5703,13.0995
F07,2019,0.12143,0.5578,0.1506,0.4623,13.1373
F07,2020,0.14662,1.0776,0.1357,0.3645,13.1729
F07,2021,0.15383,1.1129,0.1546,0.4481,13.2014
F07,2022,0.13503,0.6109,0.1427,0.5126,13.247
F07,2023,0.10177,0.8122,0.08,0.5514,13.3024
F07,2024,0.16533,0.641,0.164,0.2537,13.3436
F08,2012,0.1241,0.4704,0.1606,0.4736,13.4324
F08,2013,0.11691,0.3651,0.1613,0.3144,13.4789
F08,2014,0.1045,0.7399,0.1388,0.5567,13.5309
F08,2015,0.14375,0.7954,0.1897,0.3687,13.5668
F08,2016,0.17436,0.8664,0.2182,0.3713,13.5896
F08,2017,0.123,0.8038,0.1661,0.3727,13.6552
F08,2018,0.18476,0.9333,0.1878,0.1979,13.7108
F08,2019,0.15886,0.8559,0.1925,0.4746,13.7601
F08,2020,0.12423,0.7174,0.08,0.3014,13.8204
F08,2021,0.14028,1.2739,0.1598,0.5609,13.854
F08,2022,0.1381,0.6613,0.1824,0.3495,13.8949
F08,2023,0.1532,1.0012,0.1773,0.4292,13.9314
F08,2024,0.12205,0.5464,0.2109,0.4318,13.983
F09,2012,0.14129,0.926,0.1489,0.4692,12.1035
F09,2013,0.12166,0.8428,0.1826,0.5712,12.104
F09,2014,0.15917,1.2568,0.1901,0.4581,12.1422
F09,2015,0.10412,0.6808,0.1477,0.5378,12.2444
F09,2016,0.11976,0.7601,0.1301,0.3872,12.2841
F09,2017,0.10525,0.3101,0.1042,0.4595,12.2794
F09,2018,0.09983,0.2552,0.1736,0.4633,12.3431
F09,2019,0.12894,1.0332,0.08,0.4492,12.3854
F09,2020,0.08783,0.7704,0.0951,0.6473,12.4303
F09,2021,0.13266,0.9704,0.1205,0.4006,12.5036
F09,2022,0.11897,0.803,0.1336,0.4879,12.5496
F09,2023,0.14303,0.7366,0.232,0.3492,12.5832
F09,2024,0.12714,0.8856,0.1679,0.4428,12.5839
F10,2012,0.08853,0.5603,0.124,0.574,12.9333
F10,2013,0.11955,0.704,0.1758,0.4188,12.9558
F10,2014,0.1384,0.789,0.1367,0.4027,12.9961
F10,2015,0.10426,1.1751,0.1326,0.5922,13.0256
F10,2016,0.09866,0.6406,0.1588,0.6779,13.0786
F10,2017,0.13518,0.7942,0.0961,0.5057,13.1259
F10,2018,0.15401,0.9776,0.1673,0.2259,13.1778
F10,2019,0.13535,0.7508,0.1906,0.6065,13.2076
F10,2020,0.14095,0.7762,0.2206,0.3523,13.2587
F10,2021,0.13842,0.6262,0.1668,0.3126,13.3222
F10,2022,0.12851,0.7908,0.2073,0.5129,13.3524
F10,2023,0.12417,0.814,0.1503,0.5566,13.378
F10,2024,0.12946,0.8778,0.1177,0.5248,13.4287
F11,2012,0.11811,0.9106,0.1713,0.3969,12.822
F11,2013,0.12288,0.9845,0.189,0.4286,12.8557
F11,2014,0.11539,0.4195,0.1951,0.4042,12.9195
F11,2015,0.14224,1.1357,0.1611,0.5131,12.9621
F11,2016,0.11711,0.8961,0.1277,0.377,13.0227
F11,2017,0.12279,0.8324,0.1125,0.4608,13.0513
F11,2018,0.11655,0.6476,0.1366,0.4222,13.0772
F11,2019,0.11448,1.0612,0.175,0.4198,13.1118
F11,2020,0.14869,0.9427,0.1552,0.4629,13.1937
F11,2021,0.10644,0.7613,0.2355,0.5862,13.2525
F11,2022,0.11946,0.5014,0.1152,0.6183,13.3159
F11,2023,0.13976,1.0206,0.1974,0.4713,13.3173
F11,2024,0.12137,0.5853,0.1849,0.5268,13.3478
F12,2012,0.14446,1.0734,0.1715,0.1972,12.5344
F12,2013,0.10944,0.7064,0.1241,0.4816,12.556
F12,2014,0.13063,0.5451,0.1823,0.3765,12.5632
F12,2015,0.13112,0.8775,0.2081,0.3282,12.6083
F12,2016,0.12163,0.8326,0.0993,0.4558,12.6331
F12,2017,0.14353,0.8175,0.1857,0.3937,12.6923
F12,2018,0.1174,0.7367,0.1594,0.5206,12.7255
F12,2019,0.10147,0.4206,0.1483,0.4284,12.7649
F12,2020,0.09955,0.9134,0.1542,0.4471,12.8568
F12,2021,0.0892,0.3984,0.1943,0.4252,12.9631
F12,2022,0.1035,0.9142,0.1494,0.4654,13.0169
F12,2023,0.13455,0.8818,0.1608,0.5522,13.0422
F12,2024,0.13025,0.8491,0.1421,0.3918,13.0261
F13,2012,0.12649,0.7747,0.1687,0.5921,12.4628
F13,2013,0.11772,0.6709,0.1768,0.6168,12.4935
F13,2014,0.13599,0.4929,0.1505,0.3921,12.5012
F13,2015,0.14827,0.7015,0.1722,0.3013,12.5333
F13,2016,0.15746,0.4904,0.1986,0.4425,12.5662
F13,2017,0.13727,0.7029,0.1635,0.3497,12.5793
F13,2018,0.15226,1.1887,0.1794,0.6274,12.6185
F13,2019,0.12042,0.7708,0.1444,0.6085,12.6399
F13,2020,0.1443,0.9799,0.1991,0.4504,12.6526
F13,2021,0.1248,0.7286,0.1673,0.5006,12.7287
F13,2022,0.13398,0.7361,0.1731,0.4512,12.7575
F13,2023,0.12483,0.6529,0.1739,0.3115,12.8311
F13,2024,0.13671,0.9515,0.1499,0.4601,12.8777
F14,2012,0.14313,0.6593,0.1758,0.2984,13.3523
F14,2013,0.15535,0.722,0.1369,0.347,13.3708
F14,2014,0.15527,0.8045,0.2357,0.3749,13.4405
F14,2015,0.16737,0.8903,0.2168,0.3766,13.496
F14,2016,0.15746,0.9136,0.153,0.4618,13.5467
F14,2017,0.14397,0.7862,0.1684,0.2783,13.5724
F14,2018,0.13489,1.2404,0.182,0.5444,13.6206
F14,2019,0.12913,0.8169,0.1588,0.6813,13.6326
F14,2020,0.1518,0.8156,0.1763,0.3185,13.6734
F14,2021,0.1506,1.1145,0.1371,0.3478,13.668
F14,2022,0.12094,0.5778,0.1476,0.3584,13.7152
F14,2023,0.15661,1.1139,0.1839,0.4335,13.7514
F14,2024,0.11521,0.7895,0.1856,0.4356,13.7891
F15,2012,0.10943,0.7229,0.1828,0.6689,13.5618
F15,2013,0.1355,0.4953,0.1991,0.3876,13.5981
F15,2014,0.12227,0.9475,0.1307,0.2931,13.6329
F15,2015,0.13992,0.942,0.1499,0.4206,13.6659
F15,2016,0.13031,0.903,0.1628,0.4143,13.7267
F15,2017,0.12432,0.8413,0.2119,0.4682,13.7766
F15,2018,0.12825,0.7933,0.1471,0.3118,13.7966
F15,2019,0.1322,0.429,0.17,0.5415,13.8308
F15,2020,0.14763,0.8984,0.1543,0.2535,13.8741
F15,2021,0.13339,0.8916,0.1789,0.6774,13.8813
F15,2022,0.1504,0.7765,0.1756,0.2989,13.9557
F15,2023,0.13514,0.9852,0.1536,0.4794,13.998
F15,2024,0.14925,0.755,0.1272,0.5477,14.0103
F16,2012,0.15682,1.0228,0.167,0.3161,13.0078
F16,2013,0.14957,1.082,0.1362,0.3429,13.0437
F16,2014,0.13622,0.8571,0.1406,0.4101,13.1005
F16,2015,0.09627,0.2,0.2006,0.4753,13.1413
F16,2016,0.16115,0.9028,0.1975,0.4615,13.1542
F16,2017,0.14963,1.3268,0.1549,0.4309,13.2112
F16,2018,0.16438,1.0413,0.1917,0.3161,13.2897
F16,2019,0.11373,0.4343,0.1372,0.3812,13.3128
F16,2020,0.13272,0.8721,0.1506,0.5199,13.3571
F16,2021,0.12695,0.9655,0.1936,0.4755,13.38
F16,2022,0.13021,0.8252,0.1987,0.6213,13.3789
F16,2023,0.13623,0.4829,0.1419,0.4532,13.437
F16,2024,0.12716,0.61,0.111,0.6413,13.49
F17,2012,0.12684,0.3553,0.1772,0.4203,13.5881
F17,2013,0.15181,1.1251,0.1713,0.3905,13.6161
F17,2014,0.13756,0.6763,0.1977,0.5252,13.6679
F17,2015,0.15095,1.355,0.1578,0.5715,13.6964
F17,2016,0.1055,0.328,0.2268,0.437,13.7477
F17,2017,0.13956,0.8578,0.1492,0.3772,13.7787
F17,2018,0.11813,1.017,0.1675,0.5646,13.8285
F17,2019,0.12853,0.799,0.1412,0.2802,13.8716
F17,2020,0.13285,0.7727,0.0837,0.3759,13.8821
F17,2021,0.14142,0.57,0.1675,0.4493,13.9617
F17,2022,0.11196,0.6672,0.0949,0.3084,13.9864
F17,2023,0.12051,0.8544,0.149,0.3503,14.0182
F17,2024,0.1338,0.7288,0.112,0.5514,14.0582
F18,2012,0.12916,0.5702,0.088,0.3648,12.9653
F18,2013,0.12283,0.5851,0.08,0.471,13.0096
F18,2014,0.13316,1.004,0.2117,0.4857,13.0778
F18,2015,0.10364,0.9706,0.1062,0.5763,13.1076
F18,2016,0.14296,0.9272,0.1226,0.4369,13.0962
F18,2017,0.15584,1.1237,0.1137,0.4952,13.1628
F18,2018,0.12809,0.7538,0.1694,0.6909,13.1989
F18,2019,0.11151,0.8191,0.1124,0.5745,13.2574
F18,2020,0.12824,0.8579,0.2168,0.5255,13.3259
F18,2021,0.15224,1.1881,0.1412,0.4919,13.3767
F18,2022,0.12319,0.9141,0.1138,0.6008,13.3852
F18,2023,0.15212,1.3605,0.1299,0.4965,13.4536
F18,2024,0.1307,0.62,0.1658,0.2494,13.4813
F19,2012,0.13578,0.7766,0.1938,0.6351,13.7069
F19,2013,0.12843,0.8149,0.155,0.4535,13.7269
F19,2014,0.10298,0.5692,0.1647,0.5517,13.743
F19,2015,0.1633,1.1846,0.1673,0.271,13.7763
F19,2016,0.12316,0.8257,0.1412,0.2198,13.8336
F19,2017,0.13431,0.8031,0.2088,0.4682,13.8627
F19,2018,0.12191,0.9002,0.18,0.5055,13.9065
F19,2019,0.14991,1.19,0.1655,0.5992,13.9318
F19,2020,0.11774,0.8638,0.109,0.3462,14.0064
F19,2021,0.12139,0.6762,0.1449,0.4921,14.0176
F19,2022,0.14851,1.0073,0.1301,0.3212,14.056
F19,2023,0.14647,0.9969,0.1967,0.5396,14.1061
F19,2024,0.11535,0.526,0.1605,0.5599,14.1479
F20,2012,0.1209,0.5861,0.1022,0.4809,13.7031
F20,2013,0.13743,0.7787,0.1276,0.4961,13.7162
F20,2014,0.14017,0.5906,0.0861,0.4793,13.7219
F20,2015,0.13135,0.7831,0.1674,0.3121,13.758
F20,2016,0.14488,0.5688,0.2191,0.2852,13.7791
F20,2017,0.12338,0.7397,0.1691,0.2467,13.845
F20,2018,0.11491,0.8849,0.1342,0.5215,13.8969
F20,2019,0.11181,0.7959,0.08,0.3545,13.9342
F20,2020,0.15246,0.7065,0.1867,0.2745,13.9641
F20,2021,0.14375,0.5113,0.2143,0.3108,14.014
F20,2022,0.14212,0.977,0.1691,0.3508,14.0702
F20,2023,0.12846,0.6572,0.1263,0.5948,14.0733
F20,2024,0.10702,0.5705,0.1271,0.3614,14.1022
